datetime,ticks,open,high,low,close,volume,buy/sell,bid/ask
2016-08-01 9:33,475,1.11925,1.1199,1.1192,1.1197,1500,1.127659574,1.027173913
2016-08-01 11:38,376,1.1197,1.12085,1.1196,1.1208,1500,1.788104089,1.022727273
2016-08-01 12:20,332,1.1208,1.12145,1.12075,1.121,1500,1.262443439,1.022727273
2016-08-01 13:00,280,1.121,1.1214,1.1207,1.12135,1500,1.757352941,1.033149171
2016-08-01 13:58,290,1.12135,1.1222,1.12135,1.12215,1500,1.782931354,1.033149171
2016-08-01 14:17,396,1.12215,1.12275,1.122,1.12235,1500,1.252252252,1.033149171
2016-08-01 14:45,388,1.12235,1.12335,1.1223,1.1233,1500,1.772643253,0.814685315
2016-08-01 15:05,238,1.1233,1.12395,1.1233,1.12365,1500,1.145922747,0.814685315
2016-08-01 15:07,295,1.12365,1.12365,1.123,1.123,1500,0.538461538,1.322033898
2016-08-01 15:19,246,1.123,1.12405,1.12285,1.12405,1500,1.407704655,0.554545455
2016-08-01 15:31,164,1.12405,1.1243,1.1239,1.12425,1500,1.994011976,0.81509434
2016-08-01 15:33,186,1.12425,1.1248,1.1241,1.12465,1500,2.112033195,1.036734694
2016-08-01 15:34,219,1.12465,1.1249,1.12435,1.1245,1500,1.152080344,1.276150628
2016-08-01 15:36,159,1.1245,1.1259,1.12445,1.1255,1500,3.043126685,1.467391304
2016-08-01 15:36,280,1.1255,1.12605,1.1254,1.1259,1500,1.155172414,1.412935323
2016-08-01 15:37,290,1.1259,1.12625,1.12565,1.1257,1500,1.029769959,1.776470588
2016-08-01 15:39,327,1.1257,1.12615,1.1256,1.1258,1500,0.746216531,1.331632653
2016-08-01 15:42,288,1.1258,1.12635,1.12565,1.12575,1500,0.632208923,1.311740891
2016-08-01 15:47,259,1.12575,1.12625,1.1256,1.1256,1500,0.879699248,1.245762712
2016-08-01 15:53,258,1.1256,1.126,1.1255,1.1256,1500,0.773049645,1.821989529
2016-08-01 15:58,231,1.1256,1.1257,1.12515,1.12535,1500,0.599147122,1.021126761
2016-08-01 16:01,318,1.12535,1.1256,1.125,1.125,1500,0.551189245,1.216666667
2016-08-01 16:07,305,1.125,1.12525,1.1246,1.12465,1500,0.666666667,1.028846154
2016-08-01 16:14,344,1.12465,1.1254,1.12465,1.1254,1500,1.463054187,0.992805755
2016-08-01 16:23,215,1.1254,1.1259,1.1253,1.12585,1500,2.529411765,1.121338912
2016-08-01 16:28,348,1.12585,1.1264,1.1256,1.1264,1500,1.752293578,0.927756654
2016-08-01 16:35,236,1.1264,1.12695,1.1264,1.12695,1500,1.688172043,0.588235294
2016-08-01 16:36,195,1.12695,1.1274,1.12685,1.1274,1500,2.816793893,0.810909091
2016-08-01 16:37,229,1.1274,1.12785,1.12725,1.1275,1500,1.235469449,0.920318725
2016-08-01 16:38,270,1.1275,1.12785,1.1274,1.1274,1500,1.06043956,1.162055336
2016-08-01 16:42,350,1.1274,1.12775,1.1274,1.12775,1500,0.903553299,0.885813149
2016-08-01 16:49,249,1.12775,1.12775,1.12745,1.12745,1500,0.798561151,1.399239544
2016-08-01 16:56,221,1.12745,1.1286,1.12745,1.1284,1500,2.797468354,0.985074627
2016-08-01 16:58,289,1.1284,1.12875,1.1282,1.1283,1500,1.415458937,1.030201342
2016-08-01 17:03,275,1.1283,1.1291,1.1283,1.1287,1500,1.504173623,1.253787879
